DfE,School Name,Bus (type not known),Car Share,Car/Van,Cycle,Dedicated School Bus,Other,Public Bus Service,Taxi,Train,Walk,Grand Total
3833030,Aberford Church of England Voluntary Controlled Primary School,,9,11,,,,,,,66,86
3832416,Adel Primary School,,,140,6,,,4,,,78,228
3833902,Adel St John The Baptist Church of England Primary School,1,5,142,1,,,2,,,59,210
3832507,Allerton Bywater Primary School,4,6,129,5,6,,2,,,244,396
3833931,Allerton Church Of England Primary School,3,4,301,2,,,13,3,,302,628
3834040,Allerton Grange School,,141,554,10,17,2,348,8,,405,1485
3834032,Allerton High School,14,5,348,33,,4,99,3,5,740,1251
3832436,Alwoodley Primary School,1,35,173,3,,,2,1,,254,469
3832484,Armley Primary School,,13,27,1,,,19,1,,141,202
3832512,Asquith Primary School,,1,227,2,6,1,24,2,1,148,412
3832463,Austhorpe Primary School,,,59,4,,,,,,144,207
3832425,Bankside Primary School,,21,82,,,1,1,,,498,603
3832444,Beechwood Primary School,1,,104,,1,,9,3,,339,457
3832407,Beecroft Primary School,2,1,105,,,,1,5,,204,318
3833913,Beeston Hill St Luke's Church of England Primary School,,,127,1,,,5,,,279,412
3832470,Beeston Primary School,1,4,97,,,,23,2,,554,681
3834106,Benton Park School,8,3,137,1,516,1,40,1,,692,1399
3832369,Birchfield Primary School,,6,62,,,,,,,176,244
3834076,Bishop Young Church Of England Academy,9,3,58,6,155,,58,,,261,550
3834114,Boston Spa Academy,17,1,37,2,607,3,58,1,3,171,900
3832433,Bracken Edge Primary School,5,8,98,,,,22,2,,380,515
3832329,Bramham Primary School,,10,81,,,,,,,63,154
3832406,Bramhope Primary School,,,7,,,,,,,33,40
3832485,Bramley Park Academy,,4,44,,,,13,3,,248,312
3833054,Bramley St Peter's Church of England Voluntary Aided Primary School,2,4,118,,,,3,3,,244,374
3834113,Brigshaw High School and Language College,68,18,153,11,209,,61,3,,467,990
3832398,Broadgate Primary School,6,6,112,,,3,8,,1,200,336
3832007,Brownhill Primary Academy,,,33,1,,,4,,,426,464
3832409,Brudenell Primary School,5,30,50,1,,1,5,3,,196,291
3834071,Bruntcliffe Academy,,5,233,9,79,3,194,7,,129,659
3833052,Burley St Matthias' Church of England Voluntary Controlled Primary School,2,1,37,,,2,21,,,136,199
3833046,Calverley Church of England Voluntary Aided Primary School,3,2,246,4,,,1,,,152,408
3834751,Cardinal Heenan Catholic High School,2,7,95,5,567,,87,2,,139,904
3834041,Carr Manor Community School (Secondary Site),216,32,295,8,77,2,144,6,,436,1216
3832437,Carr Manor Primary School,4,2,248,2,,,5,1,,274,536
3832486,Castleton Primary School,1,10,14,,,,24,2,,359,410
3832427,Chapel Allerton Primary School,18,3,83,4,,,18,4,1,388,519
3832451,Christ Church Upper Armley C of E,,,24,,,,5,,,152,181
3833055,Christ The King Catholic Primary School - A  Voluntary Academy,2,6,74,,,,10,,,85,177
3832020,Churwell Primary School,7,18,194,1,,,4,,,241,465
3832286,Clapgate Primary School,3,1,60,,,1,5,4,,399,473
3832482,Cobden Primary School,,1,24,,,,3,,,201,229
3832487,Cockburn School,68,3,188,16,21,2,201,3,4,572,1078
3834047,Collingham Lady Elizabeth Hastings' Church of England Primary School,,1,99,,,,,,,107,207
3833357,Colton Primary School,1,19,64,1,,,,,,157,242
3832453,Cookridge Primary School,,2,117,2,,,10,,,175,306
3832418,Co-Op Academy Oakwood,5,6,66,,4,,,,1,365,447
3832010,Co-Operative Academy Priesthorpe,81,19,481,11,14,,66,7,,346,1025
3834110,Corpus Christi Catholic Primary School,3,,78,,,,16,,,205,302
3833370,Crawshaw Academy,10,8,227,4,24,,111,5,,490,879
3834107,Cross Gates Primary School,1,,38,1,14,,11,4,,166,235
3832458,Crossley Street Primary School,,1,142,1,,,,,,103,247
3832347,Deighton Gates Primary School,,,58,,,,,,,130,188
3832400,East Ardsley Primary Academy,,4,117,,,4,,3,,327,455
3832504,East Garforth Primary Academy,1,,162,,,,,,,110,273
3832395,East Specialist Inclusive Learning Centre,,,34,,179,1,14,3,,4,235
3837015,Ebor Gardens Primary School,,60,60,,,,85,2,,257,464
3832018,Elliott Hudson College,1,1,27,,16,3,247,,1,25,321
3834070,Farsley Farfield Primary School,,,221,3,,,5,1,,237,467
3832505,Farsley Springbank Primary School,,,123,2,,,5,2,,288,420
3832338,Farsley Westroyd,2,,53,1,,,1,,,119,176
3832302,Five Lanes Primary School,1,,196,,,,1,,,261,459
3832492,Fountain Primary School,5,,159,,,,3,,,249,416
3833926,Gildersome Primary School,3,17,148,4,,,5,2,,252,431
3832336,Gledhow Primary School,1,36,183,5,2,,9,5,,321,562
3832428,Grange Farm Primary School,1,1,94,,,1,14,1,,328,440
3832447,Green Lane Primary Academy,,3,198,2,,1,,2,2,170,378
3832396,Greenmount Primary School,1,22,106,,,1,,3,,377,510
3832473,Greenside Primary School,2,2,135,,,,1,,,170,310
3832303,Grimes Dyke Primary School,16,4,44,,,,14,3,,209,290
3832448,Guiseley Primary School,,,191,4,,,3,1,1,270,470
3832270,Guiseley School,8,35,108,5,6,,46,7,256,859,1330
3834108,Hawksworth Church of England Primary School,,6,101,,,,,,,6,113
3833351,Highfield Primary School,,2,108,,,1,3,,,324,438
3832438,Hill Top Primary Academy,,2,164,,,,,,,95,261
3832292,Holy Family Catholic Primary School,4,6,82,,3,1,7,2,,103,208
3833372,Holy Name Catholic Voluntary Academy,5,,155,,3,,1,1,,30,195
3832017,Holy Rosary and St Anne's Catholic Primary School,,,61,,11,,5,8,,154,239
3833383,"Holy Trinity Church Of England Academy, Rothwell",,,49,,,,,,,123,172
3832013,Horsforth Featherbank Primary School,3,10,53,1,,,4,,,140,211
3832283,Horsforth Newlaithes Primary School,2,4,168,,,1,,,,242,417
3832363,Horsforth School,2,5,175,13,,3,51,1,,1105,1355
3834115,Hovingham Primary School,2,18,35,,,,3,3,1,711,773
3832450,Hugh Gaitskell Primary School,29,1,73,,,,5,,,446,554
3832483,Hunslet Carr Primary School,2,24,105,,,,19,7,,301,458
3832474,Hunslet St Mary's Church of England Primary School,1,25,47,,,,16,3,,159,251
3833914,Immaculate Heart Of Mary Catholic Primary School,1,2,313,3,1,,8,1,,116,445
3833381,Ingram Road Primary School,2,5,33,,,,3,2,,326,371
3832476,Ireland Wood Primary School,4,4,164,,11,,25,4,,200,412
3832420,John Smeaton Academy,9,,156,64,30,10,145,10,2,346,772
3834055,Kerr Mackie Primary School,2,10,253,3,,,10,5,,124,407
3832434,Khalsa Science Academy,,1,78,,21,,3,,,24,127
3832011,"Kippax North Junior, Infant and Nursery School",,,160,3,,,5,,,80,248
3832399,Kirkstall St Stephen's Church of England Primary School,2,7,53,1,,,3,,,134,200
3833904,Kirkstall Valley Primary School,2,1,84,1,,,9,2,,123,222
3832411,Lady Elizabeth Hastings Church of England (Aided) Primary School (L),2,,50,,33,,,,,7,92
3835200,Lane End Primary School,1,,50,1,,,2,,,274,328
3832000,Lawns Park Primary School,,1,66,,,,3,,,173,243
3832497,Lawnswood School,1,11,186,6,5,1,473,2,,283,968
3834006,Leeds City Academy,53,2,36,1,8,4,94,2,,105,305
3834061,Leeds Grammar School,,103,546,2,273,,9,,,33,966
3836112,Little London Community Primary School and Nursery,2,3,81,,,2,60,,1,443,592
3832412,Low Road Primary School,2,3,51,,,,14,3,,117,190
3832481,Lower Wortley Primary School,3,24,82,,,,,1,,242,352
3832496,Lowtown Primary School,1,2,54,,,,2,,1,135,195
3832365,Manston Primary School,2,17,24,2,1,,1,1,,156,204
3832464,Manston St James Primary Academy,2,1,156,3,,,21,1,,244,428
3833910,Meadowfield Primary School,6,,71,4,,,6,3,,382,472
3833923,Meanwood Church of England Primary School,,1,67,2,,,,,,142,212
3833907,Methley Primary School,,,338,4,20,,,,,474,836
3833916,Micklefield C of E (C) Primary School,,12,29,2,,,,,,71,114
3832023,Middleton Primary School,1,,43,,,,11,1,,370,426
